BOAMP_AVIS_NUM,D_01_01_Identite_Denomination,D_01_02_Identite_Codeidentnational,D_01_03_Identite_Correspondant,D_01_04_Identite_Contact,D_01_05_Identite_Adjudicateurnuts,D_01_06_Identite_Adresse,D_01_07_Identite_Cp,D_01_08_Identite_Ville,D_01_09_Identite_Pays,D_01_10_Identite_Tel,D_01_11_Identite_Poste,D_01_12_Identite_Fax,D_01_13_Identite_Mel,D_01_14_Identite_Url,D_01_15_Identite_Urlprofilacheteur,D_01_16_Identite_Urlinformation,D_01_17_Identite_Urlparticipation,D_01_18_Identite_Urldocument,D_01_19_Identite_Outillogiciel,D_01_20_Identite_Agitpourautrecompteoui,D_01_21_Identite_Agitpourautrecomptenon,D_01_22_Identite_Loicompteautrepays,D_01_23_Identite_Organismeacheteurcentraloui,D_01_24_Identite_Organismeacheteurcentralnon
15-57501,Conseil Général de Charente-Maritime,None, CONSEILDPT,,,"85, boulevard de la République Cedex 9",17076,La Rochelle,,,,,,,,,,,,False,False,,False,False
15-57502,Métropole de Lyon,None,"Madame la vice-présidente chargée du patrimoine, de la logistique et des bâtiments",,,"Direction de la logistique et des batimentsunité marchés conventions20, rue du LacBP 3103",69399,Lyon cedex 03,,,,,,http://marches.grandlyon.com,http://marches.grandlyon.com,,,,,False,False,,False,False
15-57503,OPHLM de Villemomble,27930018000023," DAHAN Laurent, Directeur Général",,,10 avenue Detouche,93250,Villemomble,,(+33) 1-45-28-59-39,,(+33) 1-45-28-51-42,m.happel.oph@orange.fr,,http://www.marches-publics.info,,,,,False,False,,False,False
15-57504,Ville de Château l'Evêque,None,Mme le Maire,,,Le Bourg,24460,Château l'Evêque,,05-53-54-30-77,,05-53-04-36-06,chateau.leveque@gmail.com,,,,,,,False,False,,False,False
15-57506,OPH des Pyrénées-Orientales,48889876800020," RIZZI Aldo, Directeur Général",,,5-7 rue Valette BP 60440,66004,PERPIGNAN,,(+33) 4-68-55-33-30,,(+33) 1-55-66-62-84,,http://www.office66.fr/,,,,,,False,False,,False,False
15-57507,Ville de Templemars,None, André Pirone,,,"101, rue Jules Guesde",59175,Templemars,,03-20-58-99-99,,03-20-58-99-90,villedetemplemars@wanadoo.fr,,,,,,,False,False,,False,False
15-57508,Hôpitaux universitaires de Strasbourg,26670057400012,,PHARMACIE - POLE LOGISTIQUE Secteur Marchés,,1 place de l'Hôpital BP 426,67091,Strasbourg cedex,,(+33) 3-69-55-31-25,,(+33) 3-69-55-32-29,,,https://www.achatpublic.com/sdm/ent/gen/index.jsp,,,,,False,False,,False,False
15-57509,CCI,None,Mademoiselle Emilie SAURA,Département Juridique et Affaires Générales,,"Hôtel Consulaire, Rue du Nouveau Port",20200,Bastia,,,,,,,,,,,,False,False,,False,False
15-57510,Commune de Croix,None,"Mme Alexandra Valy, Responsable du service Commande publique",,,187 RUE JEAN JAURES,59170,Croix,,03-20-28-57-28,,,marchespublics@ville-croix.fr,http://www.ville-croix.fr,http://wwww.achatpublic.com,,,,,False,False,,False,False
15-57511,SDIS 22,None,M. Le Président,,,13 rue de Guernesey Cedex 1,22015,Saint-Brieuc,,,,,,http://sdis22.marcoweb.fr,http://sdis22.marcoweb.fr,,,,,False,False,,False,False
