BOAMP_AVIS_NUM,D_01_01_Identite_Denomination,D_01_02_Identite_Codeidentnational,D_01_03_Identite_Correspondant,D_01_04_Identite_Contact,D_01_05_Identite_Adjudicateurnuts,D_01_06_Identite_Adresse,D_01_07_Identite_Cp,D_01_08_Identite_Ville,D_01_09_Identite_Pays,D_01_10_Identite_Tel,D_01_11_Identite_Poste,D_01_12_Identite_Fax,D_01_13_Identite_Mel,D_01_14_Identite_Url,D_01_15_Identite_Urlprofilacheteur,D_01_16_Identite_Urlinformation,D_01_17_Identite_Urlparticipation,D_01_18_Identite_Urldocument,D_01_19_Identite_Outillogiciel,D_01_20_Identite_Agitpourautrecompteoui,D_01_21_Identite_Agitpourautrecomptenon,D_01_22_Identite_Loicompteautrepays,D_01_23_Identite_Organismeacheteurcentraloui,D_01_24_Identite_Organismeacheteurcentralnon
15-140793,CHU d'Angers,None,M. Général Le Directeur,,,4 rue Larrey,49933,Angers,,02-41-35-33-21,,02-41-35-55-04,bureaumarche@chu-angers.fr,http://www.chu-angers.fr,,,,,,False,False,,False,False
15-140794,Cté de Cnes des Hauts du Lyonnais,None," Monsieur jean claude picard,président",,,90 place du marché,69590,Saint symphorien sur coise,,(+33) 4-78-44-37-50,,,,http://www.cc-hauts-du-lyonnais.fr,http://sudest-marchespublics.com,,,,,False,False,,False,False
15-140795,GPM de Nantes - St Nazaire,None,M. Le Président du Directoire,,,"18, Quai Ernest Renaud BP 18609",44186,Nantes cedex 4,,(+33) -02-40-44-20-20,,(+33) -02-40-44-20-01,,http://www.nantes.port.fr/marchespublics./,https://www.achatpublic.com/sdm/ent/gen/index.jsp,,,,,False,False,,False,False
15-140796,Régie Immobilière de la Ville de Paris,None,M. Schneider Daniel,,,13 avenue de la Porte d'Italie - TSA 61371,75621,Paris cedex 13,,01-77-75-11-00,,,,,,,,,,False,False,,False,False
15-140798,COMMUNAUTE AGGLOMERATION BOURGES PLUS,None,M. Le Président,,,Direction des Affaires Juridiques Service Commande Publique Bureau 203 11 rue Jacques Rimbault CS 50003,18023,Bourges Cedex,,,,,,,,,,,,False,False,,False,False
15-140799,Centre Hospitalier Jacques Puel,None, BUREAU DES MARCHES,,,Avenue de l'hôpital,12027,Rodez cedex 9,,(+33) 5-65-55-28-12,,,c.perez@ch-rodez.fr,,http://www.klekoon.com,,,,,False,False,,False,False
15-140801,Département de la Lozère CG 48,None, Madame la présidente,,,4 rue de la rovèreBp 24,48001,Mende cedex,,04-66-49-66-54,,04-66-49-27-86,dag-marches@lozere.fr,,http://cg48.e-marchespublics.com,,,,,False,False,,False,False
15-140802,Communauté Communes Parthenay-Gâtine,None,M. Le Président,,,2 rue de la CitadelleCS 80192,79205,Parthenay cedex,,(+33) 5-49-94-03-77,,(+33) 5-49-94-66-36,,http://www.cc-parthenay-gatine.fr,http://www.achatpublic.com,http://www.achatpublic.com,http://www.achatpublic.com,,,False,False,,False,False
15-140804,EHPAD L'AGE D'OR,None,LAURENT Florence,,,Direction22 PLACE JEAN JOSEPH FERREOL,84160,Cucuron,,,,,,,,,,,,False,False,,False,False
15-140805,Centre Hospitalier de Cholet,None," Mr vincent deburck, directeur de la damis",,,1 rue marengo,49325,Cholet cedex,,02-41-49-61-11,,02-41-49-60-20,damis.marches@ch-cholet.fr,http://ch-cholet.e-marchespublics.com,http://ch-cholet.e-marchespublics.com,,,,,False,False,,False,False
