BOAMP_AVIS_NUM,D_01_01_Identite_Denomination,D_01_02_Identite_Codeidentnational,D_01_03_Identite_Correspondant,D_01_04_Identite_Contact,D_01_05_Identite_Adjudicateurnuts,D_01_06_Identite_Adresse,D_01_07_Identite_Cp,D_01_08_Identite_Ville,D_01_09_Identite_Pays,D_01_10_Identite_Tel,D_01_11_Identite_Poste,D_01_12_Identite_Fax,D_01_13_Identite_Mel,D_01_14_Identite_Url,D_01_15_Identite_Urlprofilacheteur,D_01_16_Identite_Urlinformation,D_01_17_Identite_Urlparticipation,D_01_18_Identite_Urldocument,D_01_19_Identite_Outillogiciel,D_01_20_Identite_Agitpourautrecompteoui,D_01_21_Identite_Agitpourautrecomptenon,D_01_22_Identite_Loicompteautrepays,D_01_23_Identite_Organismeacheteurcentraloui,D_01_24_Identite_Organismeacheteurcentralnon
15-90084,Habitat Nord Deux-Sèvres,None,M. le Directeur général,,,7 rue Claude Debussy,79100,Thouars,,05-49-66-21-08,,05-49-66-35-52,marches@habitat-nord79.fr,http://www.habitat-nord79.fr,http://habitat-nord79.marcoweb.fr,,,,,False,False,,False,False
15-90085,Cté d'agglomération du Grand Avignon,None,Monsieur le Président,,,320 chemin des Meinajaries boîte postale 1259,84911,Avignon Cédex 9,,(+33) -04-90-84-47-00,,(+33) -04-90-84-47-15,contact@agglo-grandavignon.fr,http://www.grandavignon.fr,http://grandavignon.marcoweb.fr,http://grandavignon.marcoweb.fr,http://grandavignon.marcoweb.fr,,,False,False,,False,False
15-90087,SDIS 59,None,M. le Président du CA,,,65 Place RihourBP 70345,59026,Lille cedex,,03-20-95-72-70,,03-20-95-72-79,marches@sdis59.fr,,http://www.achatpublic.com,,,,,False,False,,False,False
15-90088,Conseil Départemental Haute-Vienne,None, M le président du conseil départemental,,,11 rue françois chénieux - cs 83112,87031,Limoges cedex 1,,,,05-44-00-12-60,marches-demat@haute-vienne.fr,http://www.haute-vienne.fr,http://www.haute-vienne.fr,,,,,False,False,,False,False
15-90089,Comunauté de Communes du Bocage Gatina,None,Claudine PROTET,,,2 Bis rue de la Berle,77940,Voulx,,01-60-71-97-45,,,contact@ccbg.fr,,,,,,,False,False,,False,False
15-90090,Ville de Vidauban,None, Monsieur le Maire,,,Place Clémenceau,83550,Vidauban,,(+33) 4-94-99-99-00,,,,,https://www.marches-securises.fr,,,,,False,False,,False,False
15-90091,GIP UNF3S,None,Fabienne Cochard,,,Faculté de Médecine - Pôle FormationAvenue Eugène Avinée,59045,Lille,,03-20-62-77-53,,03-20-62-77-55,fabienne.cochard@univ-lille2.fr,http://www.unf3s.org,,,,,,False,False,,False,False
15-90092,CHU de Clermont-Ferrand,26630746100019,M. BONHOMME Dominique,,,"Direction des Achats, Equipements et Logistique Equipements Médicaux 58 rue montalembert",63003,Clermont-ferrand cedex 1,,(+33) 4-73-75-11-72,,,dbonhomme@chu-clermontferrand.fr,,,https://www.achats-hopitaux.com/sdm/ent/gen/ent_detail.do?PCSLID=CSL_2014_MxwFTFGWT8,https://www.achats-hopitaux.com/sdm/ent/gen/ent_detail.do?PCSLID=CSL_2014_MxwFTFGWT8,,,False,False,,False,False
15-90093,Commune d'Apt,None,Monsieur le Maire d'Apt,,,Place Gabriel PériBP 171,84405,Apt,,(+33) -04-90-04-37-50,,(+33) -04-90-04-37-63,gmp@apt.fr,,https://www.achatpublic.com,,,,,False,False,,False,False
15-90094,Pôle emploi DGA SI,None,SG département achats et gestion des marchés,,,70 rue de Lagny,93100,Montreuil,,,,,,http://www.pole-emploi.fr,http://pole-emploi.e-marchespublics.com,,,,,False,False,,False,False
