BOAMP_AVIS_NUM,D_01_01_Identite_Denomination,D_01_02_Identite_Codeidentnational,D_01_03_Identite_Correspondant,D_01_04_Identite_Contact,D_01_05_Identite_Adjudicateurnuts,D_01_06_Identite_Adresse,D_01_07_Identite_Cp,D_01_08_Identite_Ville,D_01_09_Identite_Pays,D_01_10_Identite_Tel,D_01_11_Identite_Poste,D_01_12_Identite_Fax,D_01_13_Identite_Mel,D_01_14_Identite_Url,D_01_15_Identite_Urlprofilacheteur,D_01_16_Identite_Urlinformation,D_01_17_Identite_Urlparticipation,D_01_18_Identite_Urldocument,D_01_19_Identite_Outillogiciel,D_01_20_Identite_Agitpourautrecompteoui,D_01_21_Identite_Agitpourautrecomptenon,D_01_22_Identite_Loicompteautrepays,D_01_23_Identite_Organismeacheteurcentraloui,D_01_24_Identite_Organismeacheteurcentralnon
15-186990,Grande chancellerie Légion d'honneur,None,Monsieur le Grand Chancelier ou son représentant,,,1 rue de Solférino,75700,PARIS 07SP,,01-40-62-84-00,8409,01-45-56-02-98,virginie.chaumont@legiondhonneur.fr,http://www.legiondhonneur.fr,http://www.achatpublic.com,,,,,False,False,,False,False
15-186991,IRSN,None,Mme CARAMELLE Aurore,,,31 avenue de la Division Leclerc,92260,Fontenay-aux-roses,,(+33) 1-58-35-82-08,,,aurore.caramelle@irsn.fr,http://www.irsn.fr,,,,,,False,False,,False,False
15-186992,Ville de Bailly,None,M. JAMATI Claude,,,"1, rue des chênes",78870,BAILLY,,01-30-80-07-70,,,mairie@mairie-bailly.fr,http://www.mairie-bailly.fr/,http://www.klekoon.com,,,,,False,False,,False,False
15-186993,Conseil Gal des Pyrénées-Atlantiques,None,Mlle Daniel Alexia,,,4 allée des platanes,64100,Bayonne,,(+33) 5-59-46-51-71,,,,http://www.le64.fr,,,,,,False,False,,False,False
15-186994,Conseil Général de Tarn-et-Garonne,None,SACCONA Candide,,,Direction des Affaires Juridiques et de la Commande PubliqueBureau des Marchés Publics100 Boulevard Hubert Gouze,82013,Montauban cedex,,05-67-05-51-75,,05-63-63-01-84,candide.saccona@cg82.fr,http://www.ledepartement.fr,https://www.marchespublics.cg82.fr,,,,,False,False,,False,False
15-186995,Conseil départemental de la Savoie,None,M. Le Président,,,Hôtel du département CS 31802,73018,Chambery Cedex,,,,,,,http://savoie.marcoweb.fr,,http://savoie.marcoweb.fr,,,False,False,,False,False
15-186996,AIA Ambérieu en Bugey,None,"M. Sidi Jessica, ULHA AIA.AB",,,Base aérienne 278,1508,Amberieu en bugey cedex,,04-27-50-47-12,,04-74-34-51-00,achats-araa624@wanadoo.fr,,,,,,,False,False,,False,False
15-186997,SYTRAL,None,"Mme GUILLEMOT Annie, Présidente",,,"21 Boulevard Vivier Merle, CS 63815",69487,Lyon,,04-72-84-58-00,,04-78-53-12-84,,http://www.sytral.fr,,,,,,False,False,,False,False
16-22431,Syndicat Mixte des Transports Urbains,None,PATRIARCHE Nicolas,,,"Hôtel de France2 bis, Place Royale - B. P. 547",64010,Pau,,,,,,,,,,,,False,False,,False,False
15-186999,Centre Hospitalier de Grasse,None,Cellule des marchés,,,Chemin de Clavary,6135,Grasse cedex,,04-93-09-51-30,,04-93-09-51-29,dae.marche@ch-grasse.fr,,,,,,,False,False,,False,False
15-187000,Conseil Général du Var,22830001800113,"Mme CAPOBIANCO Valérie, Directeur des Marchés",,,"Direction des Marchés, 390 avenue des Lices - CS 41303",83076,TOULON,,,,,,http://www.var.fr,http://www.var.fr,,,,,False,False,,False,False
16-22946,Conseil départemental de l'Hérault,None, À l'attention de Monsieur le Président du conseil départemental,,,"Service des Marchés - Hôtel du Département 1000, rue d'Alco Cedex 4",34087,Montpellier - France,,(+33) 4-67-67-67-67,,,marches-publics@herault.fr,http://www.herault.fr,,,,,,False,False,,False,False
15-187002,Conseil Régional Poitou Charentes,23860001900042," Macaire Jean-François, Président",,,"Direction de la Commande Puiblique, 15 rue de l'Ancienne Comédie, CS70575",86021,POITIERS,,,,(+33) 5-49-55-82-96,dcp@cr-poitou-charentes.fr,http://www.poitou-charentes.fr,http://www.poitou-charentes.fr,,,,,False,False,,False,False
15-187003,Ville de Toulouges,None," ROQUE Jean, Président",,,Avenue Jules FERRY BP 6,66350,TOULOUGES,,04-68-54-72-00,,04-68-54-80-56,,http://www.marches-publics.info/acheteur/toulouges/,,,,,,False,False,,False,False
15-187004,Université Blaise Pascal,None,M. PROUX Janick,Direction de l'immobilier et de la logistique,,34 avenue Carnot,63006,Clermont-ferrand,,(+33) 4-73-40-61-62,,(+33) 4-73-40-61-66,janick.proux@univ-bpclermont.fr,http://www.univ-bpclermont.fr,http://www.marches-publics.gouv.fr,,,,,False,False,,False,False
15-187005,SYTRAL,25690099400011,"Mme GUILLEMOT Annie, Présidente",,,"21 Boulevard Vivier Merle, CS 63815",69487,Lyon,,(+33) 4-72-84-58-00,,(+33) 4-78-53-12-84,,http://www.sytral.fr,,,,,,False,False,,False,False
15-187006,Conseil Rég Provence-Alpes-Côte d'Azur,None," MARIA Jean-Charles, Directeur Général Délégué",,,"agissant au nom et pour le compte de la Région PACA, 29 Boulevard Charles Nedelec, CS 90250",13331,Marseille,,,,,,,http://achat.regionpaca.fr,,,,,False,False,,False,False
15-187007,BOCHSallanche,None, Mr Le Directeur,,,380 rue de l'Hopital BP118,74700,Sallanches,,,,,,,,,,,,False,False,,False,False
15-187008,Ville de Metz,None, Aménagement des espaces publics,,,Pôle mobilité espaces publics11 rue teilhard de chardin,57050,Metz,,(+33) 3-87-34-57-92,,,jpdier@mairie-metz.fr,http://mairie-metz.e-marchespublics.com,http://mairie-metz.e-marchespublics.com,,,,,False,False,,False,False
15-187009,Ville de Meythet,None," LAYDEVANT Christiane, Maire",,,Rue de l'Hôtel de Ville BP 1002,74966,MEYTHET,,04-50-22-78-80,,04-50-22-34-67,stechniques@mairie-meythet.fr,http://www.mairie-meythet.fr,http://www.mp74.fr,,,,,False,False,,False,False
15-187010,Communauté d'Agglomération de Poitiers,None,Cécilia Guiet,Service Immobilier,,Place du Maréchal LeclercCS 10569,86021,Poitiers cedex,,(+33) 5-49-52-35-35,,(+33) 5-49-52-38-80,cecilia.guiet@agglo-poitiers.fr,http://www.grandpoitiers.fr,http://www.marches-securises.fr,,,,,False,False,,False,False
15-187011,Mairie du 18ème arrondissement Paris,None,"Mme GILLIES-REYBURN Véronique, Ville de Paris DDCT Mairie du 18ème",,,"1, Place Jules Joffrin",75018,Paris,,01-53-41-17-58,,01-53-41-17-55,veronique.gillies-reyburn@paris.fr,http://www.paris.fr,,,,,,False,False,,False,False
15-187012,GIP CPAGE,None, Responsable des marchés publics,,,19 rue louis de broglie - bp 56507,21065,Dijon cedex,,03-80-28-46-46,,03-80-28-46-01,comptabilite@cpage.fr,http://www.e-marchespublics.com,,,,,,False,False,,False,False
15-187013,Rennes Métropole,None,M. le Président de Rennes Métropole,,,Direction de l'Assainissement 71 rue Dupont des LogesCS 93111 Tél: 02 23 62 24 10,35000,Rennes,,,,,,,,,,,,False,False,,False,False
15-187014,UNIVERSITE D'AUVERGNE,19631262300016,,M. Le président de l'Université d'Auvergne,,"49, boulevard François Mitterrand-CS60032",63001,Clermont-ferrand,,,,,,http://www.u-clermont1.fr,https://www.marches-publics.gouv.fr,,https://www.marches-publics.gouv.fr,,,False,False,,False,False
19-199,CC Aubrac et Carladez,None,,Mme FAnnie TUAILLON,FRJ22,"1, rue du Faubourg",12210,Laguiole,,(+33) 5-65-66-19-87,,,cc.carladez@wanadoo.fr,https://www.e-occitanie.fr,https://www.e-occitanie.fr,,https://www.e-occitanie.fr,https://www.e-occitanie.fr,,False,True,,False,True
15-187017,Commune de Wervicq-Sud,None, Monsieur le Maire,,,53 Rue Gabriel Péri,59117,Wervicq-sud,,03-20-14-59-20,,03-20-14-59-25,secretariat@wervicq-sud.com,,,,,,,False,False,,False,False
15-187018,Ville de Lunel,None,Mr le Maire,,,240 avenue Victor HugoCS 30403,34403,Lunel cedex,,04-67-87-83-00,,04-67-71-84-85,marchespublics@ville-lunel.fr,http://www.lunel.com,http://www.lunel.com,,,,,False,False,,False,False
15-187019,Ville de Valentigney,None,,Direction générale - Monsieur A. Bores,,Monsieur le MairePlace Emile Peugeot - BP 79,25700,Valentigney,,03-81-36-25-00,,,contact@ville-valentigney.fr,,http://www.synapse-entreprises.com,,,,,False,False,,False,False
15-187022,SMIVOM de la Saudrune,None,Alain BERTRAND,,,45 chemin des Carreaux,31120,Roques,,,,,,,,,,,,False,False,,False,False
15-187023,Partenord Habitat,None,M. le Directeur Général,,,office Public de l'habitat du Nord B.P. 309,59020,Lille cedex,,(+33) 3-20-78-56-00,,(+33) 3-20-78-58-87,,http://partenordhabitat.fr,http://marches-partenord.local-trust.com,,,,,False,False,,False,False
15-187024,Grand Port Maritime de Marseille,None,Mme la Directrice Générale du Grand Port Maritime de Marseille,direction des affaires juridiques/ département ingénierie juridique/ activités marchés publics,,"23, place de la joliette CS 81965",13226,Marseille Cedex 02,,(+33) 4-91-39-49-33,,(+33) 4-91-39-40-33,marches-gpmm@marseille-port.fr,http://www.marseille-port.fr,http://www.marches-publics.gouv.fr,http://www.marches-publics.gouv.fr,http://www.marches-publics.gouv.fr,,,False,False,,False,False
15-187026,Ville d'Etampes,None,M. Le Maire,,,Place de l'Hôtel de Ville B.P. 109,91152,Etampes Cedex,,,,,,,,,,,,False,False,,False,False
15-187027,Castraise de l'Eau,None,M. Le Directeur,,,"3, rue François Thomières",81100,Castres,,(+33) 5-63-51-90-90,,,,http://www.ville-castres.fr,http://castres-marches.marcoweb.fr,,,,,False,False,,False,False
15-187028,Lille Métropole Amélioration de L'Habi,None,M. Bougamont Vincent,,,5 rue Louis Blanc,59000,Lille,,(+33) 3-59-00-11-55,,,ndwels@lafabriquedesquartiers.fr,,,,,,,False,False,,False,False
15-187029,HAGANIS,None,M. Daniel Schmitt,,,Nouveau Port de Metz 13 Rue du Trou aux Serpents CS 82095,57050,Metz,,,,,cellulemarches@haganis.fr,,https://www.achatpublic.com/sdm/ent/gen/index.jsp,,,,,False,False,,False,False
16-5937,Ville de Compiègne,None,Service Partagé de la Commande Publique,,,place de l'Hôtel de ville CS 30009,60321,Compiègne cedex,,03-44-37-31-13,,03-44-37-31-19,,,https://marches.aglo-compiegne.fr,,,,,False,False,,False,False
15-187032,Communauté d'Agglomération de Saintes,None,M. le président de la Communauté d'Agglomération de Saintes Jean-Philippe MACHON,,,4 avenue de tombouctou,17100,Saintes,,05-46-92-34-74,,05-46-92-54-41,marches-publics@ville-saintes.fr,http://www.agglo-saintes.fr,,,,,,False,False,,False,False
15-187033,Ville d'Aix-en-Provence,None,M. Chazeau Maurice,Bruno MONPEYROUX,,"Direction des marchés publics, CS 30 715",13616,Aix en provence cedex 1,,(+33) -04-42-91-90-15,,(+33) -04-42-91-91-77,,,https://www.achatpublic.com/sdm/ent/gen/index.jsp,,,,,False,False,,False,False
16-3946,Groupement,None,Lugagne Guillaume,,,4 place Françoise de Brancas,27800,Harcourt,,,,,cde.achats@orange.fr,,,,,,,False,False,,False,False
15-187036,Ville Eurométropole de Strasbourg,None,M. Le Maire de Strasbourg,,,1 parc de l'Etoile,67076,Strasbourg Cedex,,(+33) 3-68-98-51-19,,(+33) 3-68-98-56-32,marchespublics@strasbourg.eu,,https://alsacemarchespublics.eu/,,,,,False,False,,False,False
15-187037,Chu de Reims,None,Mme La Directrice Générale,,,"Centre Hospitalier Universitaire - Code d'identification national : 265100057 00487 - 45, rue Cognacq Jay",51092,"Reims cedex, service biomédical",,03-26-78-49-23,,03-26-78-74-17,mraimbault@chu-reims.fr,https://www.achats-hopitaux.com,,,,,,False,False,,False,False
15-187038,VILLE DE PARIS,None,"M. Chouard Philippe, Chef de la section technique de l'énergie et du génie climatique",,,Direction du Patrimoine et de l'Architecture - Section Technique de l'Energie et du Génie Climatique - 193 rue de Bercy - Tour Gamma A - Tour Gamma A,75582,Paris cedex 12,,01-71-27-00-00,,01-71-27-00-99,emmanuel.germain@paris.fr,,https://marches.maximilien.fr,,,,,False,False,,False,False
15-187039,commune de Bayonne,None,"M. ETCHEGARAY Jean-René, Maire",,,Hôtel de Ville 1 avenue du Maréchal LECLERC,64100,Bayonne,,05-59-46-61-63,,05-59-59-30-91,marches@bayonne.fr,http://www.bayonne.fr,,,,,,False,False,,False,False
15-187040,SERTRID,None,M. le Président du SERTRID,,,zone industrielle BP 10,90140,Bourogne,,03-84-36-46-90,,03-84-36-46-92,contact@sertrid.fr,http://www.sertrid.fr,http://www.achatpublic.com,,,,,False,False,,False,False
15-187041,Communauté urbaine Le Creusot Montceau,None,Service de la Commande publique,,,BP 90069,71206,Le Creusot cédex,,03-85-77-51-51,,,marches.publics@creusot-montceau.org,http://www.creusot-montceau.org,https://www.e-bourgogne.fr,,,,,False,False,,False,False
15-187042,Ville de Petit-Quevilly,None,Monsieur le Maire,,,Place Henri Barbusse,76140,Le Petit-Quevilly,,02-35-63-75-00,,02-35-63-75-75,mairie@petit-quevilly.fr,,http://www.mpe76.fr,,,,,False,False,,False,False
15-187044,Mairie de Chevilly-Larue,None,"Mme LEBAS Séverine, Responsable marchés publics",,,88 avenue du général de gaulle,94669,Chevilly-larue,,,,,slebas@ville-chevilly-larue.fr,,https://www.achatpublic.com/sdm/ent/gen/index.jsp,,,,,False,False,,False,False
15-187045,Assemblée Nationale,None,,,,126 rue de l'Université75355 PARIS 07 SP,75007,Paris,,(+33) 1-40-63-85-12,,(+33) 1-40-63-85-97,drcm@assemblee-nationale.fr,http://www.assemblee-nationale.fr,https://assemblee-nationale.achatpublic.com,,,,,False,False,,False,False
15-187046,Conseil Départemental de l'Oise,None,M. le Président du Conseil Départemental,,,Direction Générale Adjointe Finances et Modernisation Direction de la Commande Publique 224 bis avenue Marcel Dassault,60000,Beauvais,,(+33) -03-44-06-60-60,,(+33) -03-44-02-77-17,ld-commandepublique-sao@oise.fr,http://oise.fr,http://marches-securises.fr/perso/cg60/,,,,,False,False,,False,False
15-187047,Commune de Saint-Fons,None, Houda maafer,,,Place roger salengro,69195,Saint-fons,,(+33) 4-72-09-20-20,,(+33) 4-72-09-20-53,marchespublics@saint-fons.fr,http://saint-fons.e-marchespublics.com,http://saint-fons.e-marchespublics.com,,,,,False,False,,False,False
15-187048,Commune lons le saunier,None,"M. Pélissard Jacques, Maire",,,4 avenue du 44 RI,39000,Lons-le-saunier,,03-84-47-29-16,,,,,http://ville-lons.marcoweb.fr,,,,,False,False,,False,False
15-187049,Département des Bouches du Rhône,None,M. Linda Frai,,,52 avenue de saint just 52 avenue de saint just,13256,Marseille cedex 20,,(+33) 4-13-31-21-85,,(+33) 4-13-31-21-95,,,,,,,,False,False,,False,False
15-187050,Sarthe Habitat,None,M le directeur général de Sarthe Habitat,,,158 avenue BolléeCS 81933,72019,LE MANS CEDEX 9,,,,,,http://www.sarthe-habitat.fr,http://www.sarthe-habitat-marches.com,,,,,False,False,,False,False
15-187051,Partenord Habitat,None,M. le Directeur Général,,,27 boulevard Vauban,59000,Lille,,03-20-78-56-00,,03-20-78-58-87,,http://partenordhabitat.fr,http://marches-partenord.local-trust.com,,,,,False,False,,False,False
15-187052,MEEDDM,None,M. Naudan Michaël,,,"2, 4, 6, rue olof palme",94046,Créteil cedex,,(+33) -01-41-78-74-09,,(+33) -01-42-07-73-98,michael.naudan@developpement-durable.gouv.fr,http://www.developpement-durable.gouv.fr/,http://www.marches-publics.gouv.fr,,,,,False,False,,False,False
15-187053,AP-HM,26130008100484,Mme La Directrice,,,"80, rue Brochier",13354,Marseille cedex 05,,,,(+33) 4-91-38-13-11,,http://www.ap-hm.fr,https://www.achats-hopitaux.com,https://www.achats-hopitaux.com,https://www.achats-hopitaux.com,,,False,False,,False,False
15-187054,ANACT Département Finance Gestion,None,Mme Lamborot Delphine,,,192 avenue Thiers CS 800 31,69457,Lyon cedex 06,,04-72-56-13-68,,,d.lamborot@anact.fr,https://www.achatpublic.com/sdm/ent/gen/ent_detail.do?PCSLID=CSL_2015_D1N9x5I9iB&v=1&selected=0,,,,,,False,False,,False,False
15-187055,Ville d'Antibes Juan-les-Pins,None,M. MAIRE Le,,,DGA Ressources et Prospective 12 place Géneral de Gaulle BP 2205,6606,Antibes cedex,,,,,commandepub-gestadm@ville-antibes.fr,,,,,,,False,False,,False,False
15-187056,CPAM de Bayonne,None,"Mme ELMI LYDIE, Responsable Achats/Marchés",,,CPAM Service Achats/Marchés 68/72 Allées Marines,64111,Bayonne cédex,,05-59-52-73-22,,,lydie.elmi@cpam-bayonne.cnamts.fr,,,,,,,False,False,,False,False
15-187057,ville de Saint-Maur-des-Fossés,21940068600016,M. Directeur Le,Patricia CEPA,,Place de l'hôtel de Ville,94100,Saint-maur-des-fossés,,(+33) 1-45-11-65-65,,,marches.publics@mairie-saint-maur.com,https://stmaur-marches.achatpublic.com,https://stmaur-marches.achatpublic.com/sdm/ent/gen/index.jsp,https://stmaur-marches.achatpublic.com,https://stmaur-marches.achatpublic.com,,,False,False,,False,False
15-187058,Reseau des acheteurs hospitaliers IDF,None, Dominique LEGOUGE,,,47 rue de charonne,75011,Paris,,01-55-78-54-51,,01-55-78-54-58,,http://www.resah-idf.com,,,,,,False,False,,False,False
15-187059,Limoges Habitat,None, Pôle services techniques,,,224 rue françois perrin Cs90398,87010,Limoges cedex,,05-55-43-45-00,,05-55-43-45-11,contact@limogeshabitat.fr,http://www.limogeshabitat.fr,http://limogeshabitat.e-marchespublics.com,,,,,False,False,,False,False
15-187060,Ville d'Aix-en-Provence,21130001700012,"M. Maurice Chazeau, Elu Délégué aux Marchés Publics",Direction des Marchés Publics,,Hôtel de ville,13616,Aix-en-provence cedex 1,,(+33) 4-42-91-96-50,,(+33) 4-42-91-91-77,,http://www.mairie-aixenprovence.fr,https://www.achatpublic.com/sdm/ent/gen/index.jsp,https://www.achatpublic.com/sdm/ent/gen/ent_detail.do?PCSLID=CSL_2015_cdT0oE1kvd,https://www.achatpublic.com/sdm/ent/gen/ent_detail.do?PCSLID=CSL_2015_cdT0oE1kvd,,,False,False,,False,False
15-187061,Conseil Général des Vosges,None,M. Le Président du Conseil Départemental,,,"8, rue de la Préfecture",88088,Epinal cedex 9,,(+33) -03-29-30-34-54,,(+33) -03-29-30-34-96,commandepublique@vosges.fr,http://www.vosges.fr,https://marchespublics.lorraine.eu,,,,,False,False,,False,False
15-187062,DEPARTEMENT DE LA SEINE-MARITIME,None,DEMBOWIAK Béatrice,,,Direction des collèges et de l'éducationcellule d'appel d'offresquai jean moulin,76101,rouen,,,,02-35-15-60-25,,http://www.seinemaritime.net,http://wwww.mpe76.fr,,,,,False,False,,False,False
15-187063,Ville de Longvic,None,Monsieur le Maire,,,BP77,21604,Longvic,,,,,,,http://achatpublic.com,,,,,False,False,,False,False
15-187064,CH Général Lons le Saunier,None," Mme crollet, directeur d'etablissement par intérim",,,55 rue du dr jean michel cs50364,39016,Lons le saunier cedex,,03-84-35-61-96,,,joseph.prainito@ch-lons.fr,http://ch-lons.e-marchespublics.com,http://ch-lons.e-marchespublics.com,,,,,False,False,,False,False
15-187065,SPL Bassin de Pompey,None, L'ADMINISTRATEUR DE L'ETABLISSEMENT,,,Rue des Quatre Éléments,54340,POMPEY,,(+33) 3-83-49-81-79,,,amauvais@bassinpompey.fr,,https://www.marches-securises.fr,,,,,False,False,,False,False
15-187066,Métropole de Lyon,None,"Monsieur le Vice-président chargé de la voirie, hors grands ouvrages et grandes infrastructures",délégation développement urbain et cadre de vie - direction de la voirie - service maîtrise d'ouvrage - unité administrative,,20 rue du laccs 33569,69505,Lyon cedex 03,,,,(+33) -04-78-95-88-79,,http://marchespublics.grandlyon.com,http://marchespublics.grandlyon.com,http://marchespublics.grandlyon.com,http://marchespublics.grandlyon.com,,,False,False,,False,False
15-187068,Mairie Le Porge,None,"Mme DOUGUET Sylvie, Mairie Le Porge",,,1 place Saint-Seurin,33680,Le porge,,05-56-26-50-15,,05-56-26-59-21,sdouguet-leporge@orange.fr,http://www.mairie-leporge.fr/,,,,,,False,False,,False,False
15-187070,Cté. d'Agglo. du Soissonnais,None,"M. CARRE Jean-Marie, Président",,,"11, avenue François Mitterrand",2880,Cuffies,,03-23-53-88-40,,,jmcarre@agglo-soissonnais.com,,,,,,,False,False,,False,False
15-187071,Université Blaise Pascal,None,M. ANGLARD Emmanuel,Direction de l'immobilier et de la logistique,,34 avenue Carnot,63006,Clermont-ferrand,,(+33) 4-73-40-61-62,,(+33) 4-73-40-61-66,,http://www.univ-bpclermont.fr,http://www.marches-publics.gouv.fr,,,,,False,False,,False,False
