BOAMP_AVIS_NUM,D_01_01_Identite_Denomination,D_01_02_Identite_Codeidentnational,D_01_03_Identite_Correspondant,D_01_04_Identite_Contact,D_01_05_Identite_Adjudicateurnuts,D_01_06_Identite_Adresse,D_01_07_Identite_Cp,D_01_08_Identite_Ville,D_01_09_Identite_Pays,D_01_10_Identite_Tel,D_01_11_Identite_Poste,D_01_12_Identite_Fax,D_01_13_Identite_Mel,D_01_14_Identite_Url,D_01_15_Identite_Urlprofilacheteur,D_01_16_Identite_Urlinformation,D_01_17_Identite_Urlparticipation,D_01_18_Identite_Urldocument,D_01_19_Identite_Outillogiciel,D_01_20_Identite_Agitpourautrecompteoui,D_01_21_Identite_Agitpourautrecomptenon,D_01_22_Identite_Loicompteautrepays,D_01_23_Identite_Organismeacheteurcentraloui,D_01_24_Identite_Organismeacheteurcentralnon
15-157275,CAMY,None,"M. Martinez Paul, Président",,,Rue des Pierrettes,78200,Magnanville,,01-30-98-78-00,,01-30-98-78-01,commandepublique@camy-info.fr,http://www.camy-info.fr,https://www.achatpublic.com/sdm/ent/gen/index.jsp,,,,,False,False,,False,False
15-157276,DDFIP 74,None,"Mme L'HERMITE Claire, Direction Départementale des Finances publiques de la Haute-Savoie",,,18 rue de la gare - BP 330,74008,Annecy cedex,,04-50-51-16-10,,,,,,,,,,False,False,,False,False
15-157277,Ctre Hospitalier Louis Pasteur de Dole,None,Hervé DION - Ingénieur Biomédical,,,Service biomédicalAvenue Léon Jouhaux,39108,Dole,,,,,,,,,,,,False,False,,False,False
15-157278,Ville de Saint Brévin les Pins,None,"Mme GMYREK Catherine, Sce Marchés Publics",,,Place de l'hôtel de ville,44250,Saint-brevin-les-pins,,02-40-27-94-28,,02-28-53-95-88,marchespublics@saint-brevin.fr,,http://www.saint-brevin-marches.com,,,,,False,False,,False,False
15-157279,Commune d'Isola,None,Monsieur le Maire,,,Place Jean Gaïssa,6420,Isola,,04-93-23-23-23,,04-93-02-18-06,jocelyne.baruffa@mairieisola.com,,http://marches-securises.fr,,,,,False,False,,False,False
15-157280,Conseil supérieur de l'audiovisuel,None, Pôle commande publique DABF,,,39/43 quai André Citroën,75015,Paris,,,,,,,,,,,,False,False,,False,False
15-157281,Commune de Pont-Péan,None,"M. GAUDIN Jean-Luc, Maire",,,2 avenue du Chemin Vert,35131,Pont-Péan,,(+33) 2-99-52-41-70,,(+33) 2-99-52-86-76,mairie@pontpean.fr,http://wwwpontpean.fr,http://www.e-megalisbretagne.org,,,,,False,False,,False,False
15-157282,Syndicat d'Energies de l'Ardèche SDE07,25 07 00 358 000 14,Mme Lalande Sandrine,,,283 Chemin d'Argevillières BP 616,7006,Privas,,(+33) 4-75-66-05-12,,,s.lalande@sde07.com,,https://www.achatpublic.com/sdm/ent/gen/index.jsp,,,,,False,False,,False,False
15-157283,SDIS 22,None,M. Le Président,,,13 rue de Guernesey Cedex 1,22015,Saint-Brieuc,,,,,,http://sdis22.marcoweb.fr,http://sdis22.marcoweb.fr,,,,,False,False,,False,False
15-157284,Ministère des Affaires étrangères,None,M. Gil Céleste,,,"57, bd des Invalides",75700,Paris,,,,,,,,,,,,False,False,,False,False
15-157285,Centre Hospitalier de la Côte Basque,None,Mme MOULIN Mélanie,,,13 avenue de l'interne Jacques Loëb,64109,Bayonne cedex,,05-59-44-31-06,,,gestion.marches@ch-cotebasque.fr,http://www.ch-cote-basque.fr,https://www.achats-hopitaux.com/sdm/ent/gen/index.jsp,,,,,False,False,,False,False
15-157286,SGAMI OUEST,None,"M. BONZAMI Mickael, SGAMI OUEST",,,"28, rue de la Pilate CS 40725",35207,Rennes cédex 2,,02-56-01-60-14,,,mickael.bonzami@interieur.gouv.fr,https://www.marches-publics.gouv.fr,,,,,,False,False,,False,False
15-157287,Conseil général d'Eure et Loir,None, Le Président,,,"Direction de la Commande Publique, 1 Place Châtelet, CS 70403",28008,Chartres,,,,,,http://www.eurelien.fr,,,,,,False,False,,False,False
15-157288,MAIRIE DE LEUVILLE SUR ORGE,None," BRAIVE ÉRIC, MAIRE",,,28 rue jules ferry,91310,leuville sur orge,,01-60-85-29-85,,,,http://www.leuville.fr/,,,,,,False,False,,False,False
15-157289,Ville de Saint-Germain-lès-Corbeil,None," PÉTEL Yann, Maire",,,"2, Route de Lieusaint BP 9",91250,SAINT-GERMAIN-LES-CORBEIL,,01-69-89-70-70,,,,,,,,,,False,False,,False,False
15-157290,Ville de Bessenay,None, Le Maire,,,11 rue de la Mairie,69690,BESSENAY,,04-74-70-80-07,,04-74-70-87-19,mairie@mairie-bessenay.fr,http://www.mairie-bessenay.fr,,,,,,False,False,,False,False
15-157291,Mairie de Divion,None,Mairie de Divion,,,1 rue pasteur,62460,divion,,,,,,,,,,,,False,False,,False,False
15-157292,SIPPEREC,None,"M. MARTIN Jacques JP, Président",,,193-197 rue de Bercy,75582,Paris cedex 12,,01-44-74-85-71,Juriste,01-44-74-83-91,igelu@sipperec.fr,http://www.sipperec.fr,https://www.achatpublic.com/sdm/ent/gen/index.jsp,,,,,False,False,,False,False
15-157293,Artois Comm,None,M. Le Président,,,100 avenue de LondresCS40548,62411,Bethune cedex,,,,,,http://artoiscomm.fr,http://artoiscomm.marcoweb.fr,,,,,False,False,,False,False
15-157294,Commune de Bobigny,None,Claude Taszek,,,31 avenue du Président S.Allende,93000,Bobigny,,01-41-60-93-96,,,,,http://bobigny.achatpublic.com,,,,,False,False,,False,False
15-157295,SDIS de l'Yonne,None, Le Président du CASDIS,,,27 Avenue Charles de Gaulle BP 157,89002,Auxerre Cedex,,(+33) 3-86-94-44-00,,(+33) 3-86-46-89-79,marches.publics@sdis89.fr,http://www.sdis89.fr,http://sdis89.marcoweb.fr,,,,,False,False,,False,False
15-157296,Ville d'Herblay,None,"M. Rouleau Philippe, Maire",,,"43, rue du Général de Gaulle",95221,Herblay cedex,,01-34-50-55-17,,01-39-78-75-46,marchespublics@herblay.fr,http://www.herblay.fr,https://www.achatpublic.com/sdm/ent/gen/index.jsp,,,,,False,False,,False,False
15-157298,ville de Seillans,None, Jean-Jacques RAYNAUD,,,9 rue du Valat,83440,Seillans,,(+33) 4-94-50-45-46,,,facturation@seillans.fr,,https://www.marches-securises.fr,,,,,False,False,,False,False
15-157299,OPH BEZIERS MEDITERRANEE HABITAT,None,Service Marchés Publics,,,Place Emile Zola BP 38,34501,Beziers cedex 01,,,,,,http://beziers-oph.fr,http://beziers-oph.marcoweb.fr,,,,,False,False,,False,False
15-157300,Commercy,None,Jérôme Lefevre,,,Château StanislasBP 90081,55200,Commercy,,(+33) 3-29-91-02-18,,(+33) -29-91-75-75,bbriffoteaux@commercy.fr,http://www.commercy.fr,http://www.klekoon.com,,,,,False,False,,False,False
15-142864,COMMUNE DE NEFFES,None,GAY-PARA Michel,,,Mairie,5000,Neffes,,,,,,,https://www.boamp.fr/demat/consultation/CONS-15-142864,,,,,False,False,,False,False
15-157302,Cté d'agglomération de Val de Bièvre,None,Monsieur Jean-Jacques BRIDEY,,,7/9 avenue François-Vincent Raspail,94114,Arcueil cedex,,01-55-01-03-03,,01-55-01-05-10,,http://www.agglo-valdebievre.fr,http://valdebievre.synapse-entreprises.com,,,,,False,False,,False,False
15-157303,VILLE DE FRESNES,None,"M. BRIDEY Jean-Jacques, Député-Maire",,,1 place Pierre et Marie Curie,94260,Fresnes,,01-49-84-56-56,,01-49-84-56-57,marchespublics@fresnes94.fr,http://www.fresnes94.fr,,,,,,False,False,,False,False
15-157304,Conseil Général des Vosges,None,M. Le Président Du Conseil Départemental des Vosges,Monsieur Mathieu LAJOUX,,"8, rue de la Préfecture",88088,Epinal cedex 9,,(+33) -03-29-30-34-54,,(+33) -03-29-30-34-96,commandepublique@vosges.fr,http://wwww.vosges.fr,https://marchespublics.lorraine.eu,,,,,False,False,,False,False
15-157305,Communauté Urbaine Toulouse Métropole,None,M. de Toulouse Metropole Le Président,,,"6, rue René Leduc-BP 35821",31505,Toulouse cedex 5,,,,,,,https://www.achatpublic.com/sdm/ent/gen/index.jsp,,,,,False,False,,False,False
15-157306,Département du Bas-Rhin,None,M. Le Président du Conseil Général,,,"POLE DEVELOPPEMENT DES TERRITOIRES DIRECTION DE L'AGRICULTURE, DE L'ESPACE RURAL ET DE L'ENVIRONNEMENT Service des espaces ruraux et naturels Hotel du Département Place du Quartier Blanc Cedex 9",67964,Strasbourg,,(+33) 3-88-76-67-67,,,,http://www.bas-rhin.fr/acces-direct/les-marches-publics,https://alsacemarchespublics.eu/,,,,,False,False,,False,False
15-157307,Centre hospitalier de Saumur,None,Mme Sandrine DESMARRES,,,Route Fontevraud - BP100,49403,saumur,,(+33) 2-41-53-32-12,,(+33) 2-41-53-32-19,sandrine.desmarres@ch-saumur.fr,http://www.ch-saumur.fr,http://www.marches-securises.fr,http://www.marches-securises.fr ,http://www.marches-securises.fr ,,,False,False,,False,False
15-157308,Département de la Lozère CG 48,None, Madame la présidente,,,Rue de la rovèreBp 24,48001,Mende cedex,,(+33) 4-66-49-66-54,,(+33) 4-66-49-27-86,dag-marches@lozere.fr,,http://cg48.e-marchespublics.com,,,,,False,False,,False,False
15-157309,Département du Val de Marne,None,M. Le Président du Conseil départemental,,,Direction de l'Education et des Collèges,94054,Créteil cedex,,,,,,http://www.valdemarne.fr,http://www.valdemarne.fr/marches-publics,,,,,False,False,,False,False
15-157310,Conseil Départemental des Ardennes,None,Benoît HURE,Service des Marchés Publics,,Hôtel du DépartempentCS 20001,8011,CHARLEVILLE-MEZIERES Cedex,,,,,,http://www.cd08.fr,http://www.xmarches.fr,http://www.xmarches.fr,http://www.xmarches.fr,,,False,False,,False,False
15-157311,Conseil Général de l'Aude,None, Monsieur le Président du Conseil Départemental de l'Aude,,,Département de l'Aude Allée Raymond Courrière,11885,Carcassonne Cedex 9,,04-68-11-68-11,,04-68-11-68-93,marches@aude.fr,http://www.aude.fr,,,,,,False,False,,False,False
15-157312,Communauté d'agglomération Caen la mer,None,M. le président,,,16 rue Rosa parksCS 15094,14050,caen cedex 4,,(+33) 2-31-39-40-00,,(+33) 2-31-79-61-44,commande.publique@agglo-caen.fr,http://www.caenlamer.fr,http://www.achatpublic.com,,http://www.achatpublic.com,,,False,False,,False,False
15-157313,MAIRIE DE MERICOURT,None, Mr le maire,,,22 grande rue,78270,Mericourt,,01-34-79-33-06,,01-34-79-31-60,mericourt.mairie@orange.fr,http://www.e-marchespublics.com,,,,,,False,False,,False,False
15-157314,Ville de Raismes,None,Services Techniques,,,Hotel de VilleGrand'Place,59590,Raismes,,(+33) 3-27-14-94-14,,(+33) 3-27-14-22-49,st@ville-raismes.fr,,http://www.achatpublic.com,,https://www.achatpublic.com/sdm/ent/gen/ent_detail.do?PCSLID=CSL_2015_iTL6cTIzhg&v=1&selected=0,,,False,False,,False,False
15-157316,Ville de Puteaux,None,Mme MAGNE Marilyne,Service marchés publics,,131 rue de la République,92800,Puteaux,,(+33) -01-46-92-92-53,,(+33) -01-46-92-93-95,,,https://www.achatpublic.com/sdm/ent/gen/index.jsp,,,,,False,False,,False,False
